gene_id,gene_name
ENSG00000146477.6,SLC22A3
ENSG00000146592.17,CREB5
ENSG00000146670.10,CDCA5
ENSG00000146966.13,DENND2A
ENSG00000147113.17,DIPK2B
ENSG00000147257.15,GPC3
ENSG00000148053.17,NTRK2
ENSG00000148123.15,PLPPR1
ENSG00000148180.21,GSN
ENSG00000148204.12,CRB2
ENSG00000148541.13,FAM13C
ENSG00000148773.14,MKI67
ENSG00000149090.12,PAMR1
ENSG00000149124.11,GLYAT
ENSG00000149451.18,ADAM33
ENSG00000149488.13,TMC2
ENSG00000149575.9,SCN2B
ENSG00000149596.7,JPH2
ENSG00000150048.10,CLEC1A
ENSG00000150907.10,FOXO1
ENSG00000151303.11,AL136982.1
ENSG00000151320.11,AKAP6
ENSG00000151468.11,CCDC3
ENSG00000151623.15,NR3C2
ENSG00000151632.17,AKR1C2
ENSG00000151725.12,CENPU
ENSG00000151914.20,DST
ENSG00000152104.12,PTPN14
ENSG00000152154.11,TMEM178A
ENSG00000152253.9,SPC25
ENSG00000152270.9,PDE3B
ENSG00000152465.18,NMT2
ENSG00000152492.15,CCDC50
ENSG00000152578.13,GRIA4
ENSG00000152580.8,IGSF10
ENSG00000152779.14,SLC16A12
ENSG00000153253.19,SCN3A
ENSG00000153291.16,SLC25A27
ENSG00000153303.17,FRMD1
ENSG00000153820.13,SPHKAP
ENSG00000153822.14,KCNJ16
ENSG00000153823.19,PID1
ENSG00000153902.14,LGI4
ENSG00000153993.13,SEMA3D
ENSG00000154065.17,ANKRD29
ENSG00000154080.14,CHST9
ENSG00000154133.15,ROBO4
ENSG00000154134.15,ROBO3
ENSG00000154162.15,CDH12
ENSG00000154188.10,ANGPT1
ENSG00000154240.17,CEP112
ENSG00000154258.17,ABCA9
ENSG00000154262.13,ABCA6
ENSG00000154263.17,ABCA10
ENSG00000154330.13,PGM5
ENSG00000154370.16,TRIM11
ENSG00000154493.19,C10orf90
ENSG00000154529.15,CNTNAP3B
ENSG00000154678.18,PDE1C
ENSG00000154721.15,JAM2
ENSG00000154734.16,ADAMTS1
ENSG00000154736.6,ADAMTS5
ENSG00000154839.10,SKA1
ENSG00000154856.13,APCDD1
ENSG00000154928.18,EPHB1
ENSG00000155016.18,CYP2U1
ENSG00000155970.12,MICU3
ENSG00000156298.13,TSPAN7
ENSG00000156475.18,PPP2R2B
ENSG00000156970.13,BUB1B
ENSG00000157150.5,TIMP4
ENSG00000157152.17,SYN2
ENSG00000157168.20,NRG1
ENSG00000157404.16,KIT
ENSG00000157456.8,CCNB2
ENSG00000157554.19,ERG
ENSG00000157654.19,PALM2AKAP2
ENSG00000157782.9,CABP1
ENSG00000158186.13,MRAS
ENSG00000158402.20,CDC25C
ENSG00000158445.10,KCNB1
ENSG00000158458.21,NRG2
ENSG00000158571.11,PFKFB1
ENSG00000158966.16,CACHD1
ENSG00000159433.12,STARD9
ENSG00000159648.11,TEPP
ENSG00000160307.10,S100B
ENSG00000160801.14,PTH1R
ENSG00000160877.6,NACC1
ENSG00000160957.14,RECQL4
ENSG00000161649.13,CD300LG
ENSG00000161888.11,SPC24
ENSG00000162062.15,TEDC2
ENSG00000162063.13,CCNF
ENSG00000162073.14,PAQR4
ENSG00000162367.11,TAL1
ENSG00000162407.9,PLPP3
ENSG00000162706.13,CADM3
ENSG00000162733.19,DDR2
ENSG00000163239.12,TDRD10
ENSG00000163378.14,EOGT
ENSG00000163431.13,LMOD1
ENSG00000163513.19,TGFBR2
ENSG00000163545.11,NUAK2
ENSG00000163687.14,DNASE1L3
ENSG00000163710.9,PCOLCE2
ENSG00000163815.6,CLEC3B
ENSG00000163827.13,LRRC2
ENSG00000163884.4,KLF15
ENSG00000164007.11,CLDN19
ENSG00000164035.10,EMCN
ENSG00000164087.8,POC1A
ENSG00000164283.13,ESM1
ENSG00000164318.18,EGFLAM
ENSG00000164330.17,EBF1
ENSG00000164488.12,DACT2
ENSG00000164530.15,PI16
ENSG00000164611.13,PTTG1
ENSG00000164736.6,SOX17
ENSG00000164849.10,GPR146
ENSG00000164879.7,CA3
ENSG00000164932.13,CTHRC1
ENSG00000164946.20,FREM1
ENSG00000165028.12,NIPSNAP3B
ENSG00000165072.10,MAMDC2
ENSG00000165092.13,ALDH1A1
ENSG00000165124.18,SVEP1
ENSG00000165152.9,PGAP4
ENSG00000165197.5,VEGFD
ENSG00000165269.13,AQP7
ENSG00000165304.8,MELK
ENSG00000165349.12,SLC7A3
ENSG00000165379.13,LRFN5
ENSG00000165410.15,CFL2
ENSG00000165478.7,HEPACAM
ENSG00000165480.16,SKA3
ENSG00000165795.23,NDRG2
ENSG00000165799.5,RNASE7
ENSG00000165810.17,BTNL9
ENSG00000166250.12,CLMP
ENSG00000166257.9,SCN3B
ENSG00000166265.13,CYYR1
ENSG00000166292.12,TMEM100
ENSG00000166473.17,PKD1L2
ENSG00000166793.13,YPEL4
ENSG00000166803.14,PCLAF
