gene_id,gene_name
ENSG00000109610.6,SOD3
ENSG00000109625.19,CPZ
ENSG00000109674.4,NEIL3
ENSG00000109805.10,NCAPG
ENSG00000109854.14,HTATIP2
ENSG00000109906.14,ZBTB16
ENSG00000109919.10,MTCH2
ENSG00000110025.13,SNX15
ENSG00000110076.19,NRXN2
ENSG00000110169.11,HPX
ENSG00000110171.20,TRIM3
ENSG00000110455.14,ACCS
ENSG00000110484.7,SCGB2A2
ENSG00000110786.18,PTPN5
ENSG00000110799.14,VWF
ENSG00000111077.18,TNS2
ENSG00000111087.10,GLI1
ENSG00000111206.13,FOXM1
ENSG00000111247.15,RAD51AP1
ENSG00000111404.7,RERGL
ENSG00000111665.12,CDCA3
ENSG00000111669.15,TPI1
ENSG00000111837.12,MAK
ENSG00000111845.5,PAK1IP1
ENSG00000111981.5,ULBP1
ENSG00000112029.10,FBXO5
ENSG00000112214.10,FHL5
ENSG00000112242.15,E2F3
ENSG00000112511.18,PHF1
ENSG00000112742.10,TTK
ENSG00000112936.19,C7
ENSG00000112984.12,KIF20A
ENSG00000113108.19,APBB3
ENSG00000113240.13,CLK4
ENSG00000113296.14,THBS4
ENSG00000113368.12,LMNB1
ENSG00000113407.14,TARS1
ENSG00000113520.11,IL4
ENSG00000113810.16,SMC4
ENSG00000113971.20,NPHP3
ENSG00000114209.15,PDCD10
ENSG00000114346.14,ECT2
ENSG00000114354.15,TFG
ENSG00000114626.18,ABTB1
ENSG00000114654.7,EFCC1
ENSG00000114686.9,MRPL3
ENSG00000114735.10,HEMK1
ENSG00000114805.18,PLCH1
ENSG00000114812.13,VIPR1
ENSG00000114841.17,DNAH1
ENSG00000115091.12,ACTR3
ENSG00000115163.15,CENPA
ENSG00000115233.12,PSMD14
ENSG00000115252.18,PDE1A
ENSG00000115257.15,PCSK4
ENSG00000115268.10,RPS15
ENSG00000115274.15,INO80B
ENSG00000115286.20,NDUFS7
ENSG00000115364.14,MRPL19
ENSG00000115459.18,ELMOD3
ENSG00000115648.14,MLPH
ENSG00000115705.22,TPO
ENSG00000116062.17,MSH6
ENSG00000116161.18,CACYBP
ENSG00000116194.13,ANGPTL1
ENSG00000116604.18,MEF2D
ENSG00000116678.20,LEPR
ENSG00000116748.21,AMPD1
ENSG00000117154.12,IGSF21
ENSG00000117245.13,KIF17
ENSG00000117399.14,CDC20
ENSG00000117425.14,PTCH2
ENSG00000117450.15,PRDX1
ENSG00000117525.14,F3
ENSG00000117632.23,STMN1
ENSG00000117650.13,NEK2
ENSG00000117724.13,CENPF
ENSG00000118046.16,STK11
ENSG00000118193.12,KIF14
ENSG00000118705.17,RPN2
ENSG00000118729.12,CASQ2
ENSG00000118777.12,ABCG2
ENSG00000119147.10,ECRG4
ENSG00000119203.14,CPSF3
ENSG00000119559.17,C19orf25
ENSG00000119688.21,ABCD4
ENSG00000119699.8,TGFB3
ENSG00000119865.9,CNRIP1
ENSG00000119888.11,EPCAM
ENSG00000120049.20,KCNIP2
ENSG00000120129.6,DUSP1
ENSG00000120279.6,MYCT1
ENSG00000120318.16,ARAP3
ENSG00000120332.16,TNN
ENSG00000120437.9,ACAT2
ENSG00000120438.12,TCP1
ENSG00000120471.15,TP53AIP1
ENSG00000120500.18,ARR3
ENSG00000120526.12,NUDCD1
ENSG00000120533.13,ENY2
ENSG00000120539.15,MASTL
ENSG00000120694.20,HSPH1
ENSG00000120738.8,EGR1
ENSG00000120833.14,SOCS2
ENSG00000120875.9,DUSP4
ENSG00000120896.13,SORBS3
ENSG00000120915.14,EPHX2
ENSG00000120963.12,ZNF706
ENSG00000121152.10,NCAPH
ENSG00000121310.17,ECHDC2
ENSG00000121413.13,ZSCAN18
ENSG00000121621.7,KIF18A
ENSG00000121671.12,CRY2
ENSG00000121957.15,GPSM2
ENSG00000122035.7,RASL11A
ENSG00000122068.13,FYTTD1
ENSG00000122176.12,FMOD
ENSG00000122543.11,OCM
ENSG00000122678.17,POLM
ENSG00000122877.16,EGR2
ENSG00000122884.12,P4HA1
ENSG00000122952.17,ZWINT
ENSG00000122971.9,ACADS
ENSG00000123131.13,PRDX4
ENSG00000123154.12,WDR83
ENSG00000123243.15,ITIH5
ENSG00000123358.20,NR4A1
ENSG00000123473.16,STIL
ENSG00000123485.12,HJURP
ENSG00000123689.6,G0S2
ENSG00000123908.12,AGO2
ENSG00000123933.17,MXD4
ENSG00000123975.5,CKS2
ENSG00000124104.19,SNX21
ENSG00000124143.10,ARHGAP40
ENSG00000124205.18,EDN3
ENSG00000124207.17,CSE1L
ENSG00000124253.11,PCK1
